0.598750, 0.417621, 0.583211, 0.840221
1.054944, 0.873814, 1.039404, 1.402081
1.777436, 1.596307, 1.761896, 2.220534
3.123044, 2.941915, 3.107505, 4.135640
2.486150, 2.305020, 2.470610, -1.957455
3.556444, 3.375315, 3.540904, 3.289480
5.092846, 4.911717, 5.077307, 4.722034
9.674648, 9.493518, 9.659108, 14.081870
6.906066, 6.724936, 6.890526, -8.509058
9.414463, 9.233333, 9.398923, 7.709396
12.856882, 12.675752, 12.841342, 10.580052
25.017208, 24.836078, 25.001668, 37.373976
17.256635, 17.075506, 17.241095, -23.851618
23.132785, 22.951655, 23.117245, 18.059966
31.038718, 30.857588, 31.023178, 24.298374
60.946450, 60.765321, 60.930911, 91.919484
41.495623, 41.314494, 41.480083, -59.780861
55.258383, 55.077254, 55.242843, 42.298954
73.616984, 73.435855, 73.601444, 56.423973
145.085636, 144.904506, 145.070096, 219.654283
98.258542, 98.077413, 98.243002, -143.920046
130.490185, 130.309056, 130.474646, 99.061873
173.326868, 173.145738, 173.311328, 131.655775
342.122977, 341.941848, 342.107437, 518.783934
231.186079, 231.004950, 231.170539, -340.957388
306.668196, 306.487067, 306.652657, 231.989410
406.827708, 406.646578, 406.812168, 307.833786
803.545486, 803.364357, 803.529946, 1219.286454
542.476097, 542.294967, 542.460557, -802.379896
719.242276, 719.061146, 719.226736, 543.279428
953.640523, 953.459394, 953.624983, 720.407865
1884.105800, 1883.924671, 1884.090260, 2859.724900
1271.455791, 1271.274662, 1271.440252, -1882.940210
1685.409223, 1685.228094, 1685.393683, 1272.259122
2234.168057, 2233.986928, 2234.152517, 1686.574813
4414.564480, 4414.383350, 4414.548940, 6701.307502
2978.582151, 2978.401021, 2978.566611, -4413.398890
3947.981249, 3947.800119, 3947.965709, 2979.385482
5232.910441, 5232.729312, 5232.894902, 3949.146838
10340.398555, 10340.217425, 10340.383015, 15697.534655
6976.334666, 6976.153537, 6976.319127, -10339.232965
9246.477728, 9246.296599, 9246.462188, 6977.137997
12255.372396, 12255.191266, 12255.356856, 9247.643318
24217.530699, 24217.349570, 24217.515160, 36764.920518
16338.280890, 16338.099761, 16338.265350, -24216.365110
21654.509219, 21654.328090, 21654.493680, 16339.084221
28700.590282, 28700.409153, 28700.574742, 21655.674809
56715.031327, 56714.850197, 56715.015787, 86100.574178
38262.108529, 38261.927400, 38262.092990, -56713.865737
50711.666488, 50711.485359, 50711.650948, 38262.911860
67212.040127, 67211.858997, 67212.024587, 50712.832078
132817.754568, 132817.573439, 132817.739029, 201634.923711
89603.379552, 89603.198422, 89603.364012, -132816.588979
118757.785578, 118757.604449, 118757.770039, 89604.182883
157398.243761, 157398.062631, 157398.228221, 118758.951168
311035.290473, 311035.109344, 311035.274934, 472193.534613
209834.488533, 209834.307403, 209834.472993, -311034.124884
278108.346972, 278108.165842, 278108.331432, 209835.291863
368596.507102, 368596.325973, 368596.491562, 278109.512561
728385.534341, 728385.353211, 728385.518801, 1105788.324637
491391.981732, 491391.800603, 491391.966193, -728384.368751
651275.865646, 651275.684517, 651275.850107, 491392.785063
863181.095888, 863180.914759, 863181.080349, 651277.031236
1705737.314971, 1705737.133842, 1705737.299432, 2589542.090996
1150743.980137, 1150743.799007, 1150743.964597, -1705736.149382
1525160.436722, 1525160.255592, 1525160.421182, 1150744.783468
2021400.446723, 2021400.265593, 2021400.431183, 1525161.602311
3994502.008746, 3994501.827616, 3994501.993206, 6064200.143499
2694816.037533, 2694815.856403, 2694816.021993, -3994500.843156
3571625.376316, 3571625.195187, 3571625.360777, 2694816.840863
4733721.240905, 4733721.059776, 4733721.225365, 3571626.541906
9354336.540472, 9354336.359342, 9354336.524932, 14201162.526046
6310727.605557, 6310727.424427, 6310727.590017, -9354335.374882
8364041.775015, 8364041.593886, 8364041.759475, 6310728.408887
11085440.442674, 11085440.261545, 11085440.427134, 8364042.940605
21906009.626667, 21906009.445538, 21906009.611127, 33256320.131353
14778477.802280, 14778477.621150, 14778477.786740, -21906008.461077
19586933.745528, 19586933.564399, 19586933.729988, 14778478.605611
25959911.377179, 25959911.196049, 25959911.361639, 19586934.911118
51299547.119323, 51299546.938194, 51299547.103784, 77879732.934867
34608275.087199, 34608274.906070, 34608275.071660, -51299545.953734
45868728.502764, 45868728.321635, 45868728.487224, 34608275.890530
60792982.322728, 60792982.141599, 60792982.307189, 45868729.668354
120133402.207727, 120133402.026598, 120133402.192188, 182378945.771516
81045740.910549, 81045740.729420, 81045740.895009, -120133401.042138
107415497.149945, 107415496.968815, 107415497.134405, 81045741.713880
142365149.617975, 142365149.436846, 142365149.602435, 107415498.315534
281328685.610250, 281328685.429121, 281328685.594710, 427095447.657256
189793107.366723, 189793107.185594, 189793107.351183, -281328684.444661
251545864.421255, 251545864.240125, 251545864.405715, 189793108.170054
333391042.443938, 333391042.262808, 333391042.428398, 251545865.586844
658816178.615664, 658816178.434535, 658816178.600125, 1000173126.135143
444457945.369295, 444457945.188166, 444457945.353755, -658816177.450075
589070696.778384, 589070696.597255, 589070696.762844, 444457946.172626
780735926.611094, 780735926.429964, 780735926.595554, 589070697.943974
1542817275.717756, 1542817275.536627, 1542817275.702216, 2342207778.636612
1040832660.714821, 1040832660.533692, 1040832660.699281, -1542817274.552167
1379487141.379961, 1379487141.198831, 1379487141.364420, 1040832661.518152
1828329226.294542, 1828329226.113412, 1828329226.279002, 1379487142.545550
3612973119.706191, 3612973119.525062, 3612973119.690651, 5484987677.686956
